strategy,puzzle_file,runtime,backtracks,max_depth,recursive_calls
3,puzzles\puzzleHard_27.cnf,129.40422344207764,259,0,568
1,puzzles\puzzleHard_28.cnf,1.4224865436553955,0,0,1
2,puzzles\puzzleHard_28.cnf,1.4692516326904297,0,0,1
3,puzzles\puzzleHard_28.cnf,1.5789940357208252,0,0,1
1,puzzles\puzzleHard_29.cnf,2.7953994274139404,1,0,11
2,puzzles\puzzleHard_29.cnf,1.5631725788116455,0,0,11
3,puzzles\puzzleHard_29.cnf,9.924493312835693,0,0,37
1,puzzles\puzzleHard_3.cnf,2.486077070236206,5,0,25
2,puzzles\puzzleHard_3.cnf,2.7821743488311768,61,0,140
3,puzzles\puzzleHard_3.cnf,3422.9846675395966,10457,0,20952
1,puzzles\puzzleHard_30.cnf,2.110567569732666,43,0,104
2,puzzles\puzzleHard_30.cnf,1.6097517013549805,3,0,23
3,puzzles\puzzleHard_30.cnf,126.94896912574768,275,0,604
1,puzzles\puzzleHard_31.cnf,1.4543874263763428,1,0,10
2,puzzles\puzzleHard_31.cnf,1.4378705024719238,0,0,4
3,puzzles\puzzleHard_31.cnf,2.1258792877197266,0,0,11
1,puzzles\puzzleHard_32.cnf,1.4387030601501465,0,0,2
2,puzzles\puzzleHard_32.cnf,1.484583854675293,0,0,8
3,puzzles\puzzleHard_32.cnf,140.67088150978088,494,0,1058
1,puzzles\puzzleHard_33.cnf,1.4538440704345703,1,0,10
2,puzzles\puzzleHard_33.cnf,1.4848523139953613,0,0,3
3,puzzles\puzzleHard_33.cnf,89.13329482078552,270,0,608
1,puzzles\puzzleHard_34.cnf,1.4853568077087402,6,0,23
2,puzzles\puzzleHard_34.cnf,1.469702959060669,0,0,8
3,puzzles\puzzleHard_34.cnf,85.96862649917603,450,0,944
1,puzzles\puzzleHard_35.cnf,1.4703402519226074,1,0,8
2,puzzles\puzzleHard_35.cnf,1.9537901878356934,21,0,51
3,puzzles\puzzleHard_35.cnf,404.5067467689514,1158,0,2350
1,puzzles\puzzleHard_4.cnf,1.4383313655853271,0,0,11
2,puzzles\puzzleHard_4.cnf,2.282109260559082,32,0,81
3,puzzles\puzzleHard_4.cnf,3876.24644446373,11825,0,23708
1,puzzles\puzzleHard_5.cnf,2.3139469623565674,16,0,58
2,puzzles\puzzleHard_5.cnf,1.515869379043579,0,0,7
3,puzzles\puzzleHard_5.cnf,480.0950200557709,1475,0,3025
1,puzzles\puzzleHard_6.cnf,2.2504727840423584,37,0,87
2,puzzles\puzzleHard_6.cnf,3.2507684230804443,58,0,137
